"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"El_gasolino","1","5","1","0","1","1","211.55977","1","1","0","0","alive","0","0","363.61435","3","1313","5978.9955","1299.0331","4679.9624","-","1-El_gasolino-Perobande-Peberinha-LaygO_0"
"Perobande","1","6","1","0","1","0","76.3","0","0","1","3","alive","0","0","35.59026","7","1313","6769.7707","729.8103","6039.9604","-","1-El_gasolino-Perobande-Peberinha-LaygO_0"
"Peberinha","1","12","0","0","0","0","31.12488","1","0","0","9","alive","0","0","-","8","1313","8093.1705","1594.6455","6498.525","-","1-El_gasolino-Perobande-Peberinha-LaygO_0"
"LaygO_0","1","11","0","0","0","0","22.515","1","0","0","0","alive","0","0","-","3","1313","6129.2223","1237.0613","4892.161","-","1-El_gasolino-Perobande-Peberinha-LaygO_0"
"XxWarlockLFxX","2","2","2","0","1","0","293.8864","2","0","1","5","byzone","0","0","30.753242","13","1309","4389.0698","2352.41","2036.6598","-","2-XxWarlockLFxX-TEXAS3006-MESTRE-MCS-Lukyne_marth3"
"TEXAS3006","2","7","1","0","1","0","3.840002","0","1","0","6","byplayer","0","0","18.83222","8","1309","4064.8307","1686.3207","2378.51","-","2-XxWarlockLFxX-TEXAS3006-MESTRE-MCS-Lukyne_marth3"
"MESTRE-MCS","2","3","2","0","2","2","250.35774","1","2","2","5","byplayer","1","0","97.61237","5","1309","4343.1569","1968.9631","2374.1938","-","2-XxWarlockLFxX-TEXAS3006-MESTRE-MCS-Lukyne_marth3"
"Lukyne_marth3","2","13","0","0","0","0","105.493034","1","0","0","2","byplayer","0","0","-","7","1266","4535.6263","2011.598","2524.0283","-","2-XxWarlockLFxX-TEXAS3006-MESTRE-MCS-Lukyne_marth3"
"MBSILVEIRA","3","1","4","0","2","0","460.47388","2","3","2","7","byplayer","0","0","18.901358","15","1299","8683.8181","2020.2595","6663.5586","-","3-MBSILVEIRA-xJMaRcox-AdriMal-Dark-Funeral-666"
"xJMaRcox","3","8","1","0","1","0","100.00001","0","1","3","4","byplayer","0","0","22.068996","7","1231","8396.6746","1705.8616","6690.813","-","3-MBSILVEIRA-xJMaRcox-AdriMal-Dark-Funeral-666"
"AdriMal","3","4","2","0","1","0","369.01993","1","3","3","5","byplayer","0","0","17.296242","13","1273","8450.8791","1744.9331","6705.946","-","3-MBSILVEIRA-xJMaRcox-AdriMal-Dark-Funeral-666"
"Dark-Funeral-666","3","14","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","4","309","321.74725","321.74725","-","-","3-MBSILVEIRA-xJMaRcox-AdriMal-Dark-Funeral-666"
"Danielsr2","4","17","0","0","0","0","118.59219","1","0","0","3","byplayer","0","0","-","10","1128","4569.6807","1409.043","3160.6377","-","4-Danielsr2-andflp-Doomed_Aim-Paulao23"
"andflp","4","16","0","0","0","0","23.76","0","0","4","7","byplayer","0","0","-","9","1160","5092.0434","1581.9899","3510.0535","-","4-Danielsr2-andflp-Doomed_Aim-Paulao23"
"Doomed_Aim","4","9","1","0","1","0","179.6123","0","1","2","7","byplayer","0","0","224.1695","11","1160","4439.8876","1195.0907","3244.7969","-","4-Danielsr2-andflp-Doomed_Aim-Paulao23"
"Paulao23","4","15","0","0","0","0","136.78523","0","0","0","2","byplayer","0","0","-","6","1160","4081.8547","1453.1184","2628.7363","-","4-Danielsr2-andflp-Doomed_Aim-Paulao23"
"JEAN01","5","20","0","0","0","0","126.22342","0","0","1","2","byplayer","0","0","-","9","1150","5506.78964","943.60864","4563.181","-","5-JEAN01-LopexRS-LAYOGAME"
"LopexRS","5","19","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","15","1150","5513.3377","843.1367","4670.201","-","5-JEAN01-LopexRS-LAYOGAME"
"LAYOGAME","5","18","0","0","0","0","0","0","0","1","1","byplayer","0","0","-","6","1150","5831.5059","1107.0359","4724.47","-","5-JEAN01-LopexRS-LAYOGAME"
"ET_BRISADO","6","21","0","0","0","0","0","0","0","2","6","byplayer","0","0","-","9","1098","13978.63617","796.01117","13182.625","-","6-ET_BRISADO"
