"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"The-BiIL","1","6","1","0","1","0","224.35585","2","1","0","3","alive","0","0","101.617256","11","1396","4661.1028","1857.7009","2803.4019","-","1-The-BiIL-Peberinha-Perobande"
"Peberinha","1","1","3","0","2","1","202.35262","0","2","3","7","alive","0","0","125.81563","18","1396","5687.8579","1859.4279","3828.43","-","1-The-BiIL-Peberinha-Perobande"
"Perobande","1","7","1","0","1","1","383.33984","1","2","0","5","alive","0","0","34.942406","8","1396","4326.45","1690.28","2636.17","-","1-The-BiIL-Peberinha-Perobande"
"STRAT_FPS","2","2","3","0","3","0","261.69244","0","2","2","2","byplayer","0","0","52.18325","9","1393","1623.33183","619.252","1004.07983","-","2-STRAT_FPS-Lukyne_marth3-XxWarlockLFxX-TEXAS3006"
"Lukyne_marth3","2","11","0","0","0","0","0","0","0","5","8","byplayer","0","0","-","6","1393","1382.22676","730.79456","651.4322","-","2-STRAT_FPS-Lukyne_marth3-XxWarlockLFxX-TEXAS3006"
"XxWarlockLFxX","2","12","0","0","0","0","251.69397","1","1","0","1","byplayer","0","0","-","9","1393","1371.46354","747.97144","623.4921","-","2-STRAT_FPS-Lukyne_marth3-XxWarlockLFxX-TEXAS3006"
"TEXAS3006","2","13","0","0","0","0","35.909996","1","0","2","6","byzone","0","0","-","10","1314","1131.33102","511.38058","619.95044","-","2-STRAT_FPS-Lukyne_marth3-XxWarlockLFxX-TEXAS3006"
"xJMaRcox","3","14","0","0","0","0","28.464043","1","0","2","6","byzone","1","0","-","8","1292","1802.2429","1802.2429","-","-","3-xJMaRcox-MBSILVEIRA-AdriMal-Racha_Cuca_AWM"
"MBSILVEIRA","3","3","2","0","1","0","364.26596","2","1","18","8","byzone","0","0","11.876752","11","1381","1897.5839","1897.5839","-","-","3-xJMaRcox-MBSILVEIRA-AdriMal-Racha_Cuca_AWM"
"AdriMal","3","4","2","0","1","0","236.92833","0","1","2","7","byplayer","3","0","10.381869","12","1306","1799.6709","1799.6709","-","-","3-xJMaRcox-MBSILVEIRA-AdriMal-Racha_Cuca_AWM"
"Racha_Cuca_AWM","3","5","2","0","1","0","213.22812","0","2","4","2","byplayer","1","0","20.144966","10","945","1037.3528","1037.3528","-","-","3-xJMaRcox-MBSILVEIRA-AdriMal-Racha_Cuca_AWM"
"LAYOGAME","4","16","0","0","0","0","123.54901","1","0","0","5","byplayer","0","0","-","8","1303","6269.2871","1955.3447","4313.9424","-","4-LAYOGAME-JEAN01-Mateus_GB2"
"JEAN01","4","15","0","0","0","0","41.771248","0","0","0","4","byplayer","0","0","-","16","1303","6415.6965","1835.3655","4580.331","-","4-LAYOGAME-JEAN01-Mateus_GB2"
"Mateus_GB2","4","8","1","0","1","1","50.051052","0","1","0","4","byplayer","0","0","26.641556","10","1303","6187.699","2158.2302","4029.4688","-","4-LAYOGAME-JEAN01-Mateus_GB2"
"Doomed_Aim","5","20","0","0","0","0","100","0","1","0","0","byplayer","0","0","-","2","108","15.939954","15.939954","-","-","5-Doomed_Aim-WF_PROZIN-andflp-Paulao23"
"WF_PROZIN","5","18","0","0","0","0","21.122494","0","0","0","1","byplayer","0","0","-","6","406","265.6665","265.6665","-","-","5-Doomed_Aim-WF_PROZIN-andflp-Paulao23"
"andflp","5","19","0","0","0","0","86.4","0","1","0","0","byplayer","0","0","-","3","315","331.72836","331.72836","-","-","5-Doomed_Aim-WF_PROZIN-andflp-Paulao23"
"Paulao23","5","17","0","0","0","0","64.26","0","0","0","2","byplayer","0","0","-","5","499","801.43756","801.43756","-","-","5-Doomed_Aim-WF_PROZIN-andflp-Paulao23"
"caducast","6","21","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","4","321","912.4024","323.9626","588.4398","-","6-caducast-ET_BRISADO"
"ET_BRISADO","6","9","1","0","1","0","83.6","0","2","0","0","byplayer","0","0","1.0269618","4","321","1276.0228","615.0272","660.9956","-","6-caducast-ET_BRISADO"
