"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Lukyne_marth3","1","3","1","0","1","0","76.28004","0","1","0","2","alive","1","0","10.909795","5","1227","1822.6267","1822.6267","-","-","1-Lukyne_marth3-STRAT_FPS-TEXAS3006-XxWarlockLFxX"
"STRAT_FPS","1","10","0","0","0","0","256.22287","0","1","0","1","byplayer","0","0","-","6","1074","1330.3732","1330.3732","-","-","1-Lukyne_marth3-STRAT_FPS-TEXAS3006-XxWarlockLFxX"
"TEXAS3006","1","2","1","0","1","0","64.46454","0","0","2","2","alive","0","0","24.415476","8","1227","2089.810145","1988.8967","-","100.913445","1-Lukyne_marth3-STRAT_FPS-TEXAS3006-XxWarlockLFxX"
"XxWarlockLFxX","1","1","2","0","1","1","210.14664","1","1","0","3","alive","0","0","97.12171","10","1227","2050.6465","2050.6465","-","-","1-Lukyne_marth3-STRAT_FPS-TEXAS3006-XxWarlockLFxX"
"andflp","2","12","0","0","0","0","114.62512","0","0","3","1","byplayer","0","0","-","11","1173","2372.00071066","2371.8005","0.20021066","-","2-andflp-WF_PROZIN-Danielsr2"
"WF_PROZIN","2","4","1","0","1","0","149.80763","0","1","3","3","byplayer","1","0","55.600365","7","1224","1968.0264","1968.0264","-","-","2-andflp-WF_PROZIN-Danielsr2"
"Danielsr2","2","11","0","0","0","0","153.69075","1","1","1","2","byplayer","0","0","-","8","1202","1917.206","1917.206","-","-","2-andflp-WF_PROZIN-Danielsr2"
"LaygO_0","3","13","0","0","0","0","68.18608","0","0","0","2","byplayer","0","1","-","12","1144","3271.57798","2996.1475","275.43048","-","3-LaygO_0-El_gasolino-Peberinha"
"El_gasolino","3","6","1","0","1","0","142.09888","0","1","0","2","byplayer","0","0","26.121544","8","1037","3539.72701627","3539.6934","0.03361627","-","3-LaygO_0-El_gasolino-Peberinha"
"Peberinha","3","5","1","0","1","1","164.48447","1","1","1","3","byplayer","0","0","178.98296","13","1051","3703.60702","3416.5715","287.03552","-","3-LaygO_0-El_gasolino-Peberinha"
"MBSILVEIRA","4","8","1","0","1","0","49.783813","0","1","1","3","suicide","0","0","77.359764","15","1053","2545.3298","2214.7666","330.5632","-","4-MBSILVEIRA-Dark-Funeral-666-AdriMal-xJMaRcox"
"Dark-Funeral-666","4","15","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","6","992","2331.4204","2331.4204","-","-","4-MBSILVEIRA-Dark-Funeral-666-AdriMal-xJMaRcox"
"AdriMal","4","14","0","0","0","0","38.216187","1","0","2","3","byzone","0","0","-","10","1055","2429.419","2429.419","-","-","4-MBSILVEIRA-Dark-Funeral-666-AdriMal-xJMaRcox"
"xJMaRcox","4","7","1","0","1","0","95","0","1","0","3","byzone","0","0","15.949701","8","1058","2656.36077","2329.1777","327.18307","-","4-MBSILVEIRA-Dark-Funeral-666-AdriMal-xJMaRcox"
