"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"STRAT_FPS","1","2","2","0","2","1","246.4902","0","2","0","0","alive","1","0","15.393922","11","1557","6530.6191","2544.8525","3985.7666","-","1-STRAT_FPS-XxWarlockLFxX-MESTRE-MCS-TEXAS3006"
"XxWarlockLFxX","1","1","3","0","1","0","240.74834","1","2","1","9","alive","0","0","148.50793","10","1557","6092.9506","2533.205","3559.7456","-","1-STRAT_FPS-XxWarlockLFxX-MESTRE-MCS-TEXAS3006"
"MESTRE-MCS","1","8","0","0","0","0","34.861023","0","0","1","4","alive","0","0","-","9","1557","5880.2053","2320.1606","3560.0447","-","1-STRAT_FPS-XxWarlockLFxX-MESTRE-MCS-TEXAS3006"
"TEXAS3006","1","9","0","0","0","0","80","0","1","1","5","byplayer","0","0","-","11","1478","6061.3583","2605.205","3456.1533","-","1-STRAT_FPS-XxWarlockLFxX-MESTRE-MCS-TEXAS3006"
"WF_PROZIN","2","4","1","0","1","0","192.5999","0","3","3","7","byplayer","0","1","24.236078","7","1554","6512.8196","1896.1106","4616.709","-","2-WF_PROZIN-andflp-Danielsr2"
"andflp","2","10","0","0","0","0","23.76","0","0","1","5","byplayer","0","0","-","20","1472","7143.4285","2469.4785","4673.95","-","2-WF_PROZIN-andflp-Danielsr2"
"Danielsr2","2","5","1","0","1","0","35.74981","0","0","0","3","byplayer","1","0","49.386368","7","1461","6729.5049","2246.9932","4482.5117","-","2-WF_PROZIN-andflp-Danielsr2"
"xJMaRcox","3","6","1","0","1","0","102.50609","0","0","0","3","byplayer","0","0","108.243546","9","1543","4996.514","2736.685","2259.829","-","3-xJMaRcox-AdriMal-MBSILVEIRA-Dark-Funeral-666"
"AdriMal","3","13","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","8","1299","4770.4524","2795.7656","1974.6868","-","3-xJMaRcox-AdriMal-MBSILVEIRA-Dark-Funeral-666"
"MBSILVEIRA","3","12","0","0","0","0","0","0","0","0","8","byplayer","0","0","-","11","1338","4622.7537","2684.4587","1938.295","-","3-xJMaRcox-AdriMal-MBSILVEIRA-Dark-Funeral-666"
"Dark-Funeral-666","3","11","0","0","0","0","34","1","1","0","1","byplayer","1","0","-","5","1535","5213.5966","3276.907","1936.6896","-","3-xJMaRcox-AdriMal-MBSILVEIRA-Dark-Funeral-666"
"El_gasolino","4","14","0","0","0","0","0","1","0","0","4","byplayer","0","0","-","11","1383","8192.2503","1822.8489","6369.4014","-","4-El_gasolino-Peberinha"
"Peberinha","4","3","2","0","1","0","223.46484","0","2","1","10","byplayer","0","0","49.73682","8","1415","8483.7473","1487.8547","6995.8926","-","4-El_gasolino-Peberinha"
