"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Perobinha","1","6","1","0","1","0","217.82867","1","1","5","8","byplayer","0","0","55.591026","9","1537","5763.3486","2557.519","3205.8296","-","1-Perobinha-Perobande-El_gasolino-The-BiIL"
"Perobande","1","1","5","0","2","1","526.6427","0","3","3","2","alive","0","0","331.41464","9","1554","869.5125","869.5125","-","-","1-Perobinha-Perobande-El_gasolino-The-BiIL"
"El_gasolino","1","11","0","0","0","0","59.862347","1","0","1","2","alive","2","0","-","7","1554","621.79834","621.79834","-","-","1-Perobinha-Perobande-El_gasolino-The-BiIL"
"The-BiIL","1","5","1","0","1","0","57.71461","0","1","1","6","byplayer","0","0","6.438428","7","1539","5291.124","1927.3928","3363.7312","-","1-Perobinha-Perobande-El_gasolino-The-BiIL"
"AdriMal","2","3","2","0","2","0","256.02454","0","3","6","7","byplayer","0","0","41.99126","12","1551","391.78433","391.78433","-","-","2-AdriMal-Dark-Funeral-666-MBSILVEIRA-xJMaRcox"
"Dark-Funeral-666","2","12","0","0","0","0","75","1","1","7","3","byplayer","0","0","-","3","1551","451.336451","440.13644","11.200011","-","2-AdriMal-Dark-Funeral-666-MBSILVEIRA-xJMaRcox"
"MBSILVEIRA","2","13","0","0","0","0","90.35999","0","0","5","6","byplayer","0","0","-","8","1449","235.93137","235.93137","-","-","2-AdriMal-Dark-Funeral-666-MBSILVEIRA-xJMaRcox"
"xJMaRcox","2","14","0","0","0","0","72.456375","0","0","11","3","byplayer","0","0","-","9","1214","5110.8954","3355.8638","1755.0316","-","2-AdriMal-Dark-Funeral-666-MBSILVEIRA-xJMaRcox"
"Doomed_Aim","3","2","4","0","2","0","164.9246","0","2","1","6","byzone","0","0","561.0878","10","1540","8547.4182","1806.6462","6740.772","-","3-Doomed_Aim-andflp"
"andflp","3","7","1","0","1","0","163.9189","0","1","0","5","byzone","0","0","5.3866315","15","1540","8118.0105","1558.1829","6559.8276","-","3-Doomed_Aim-andflp"
"takkaoF","4","15","0","0","0","0","0","0","0","1","6","byplayer","0","0","-","8","1539","8445.2977","2254.66","6190.6377","-","4-takkaoF-caducast-T0yzerAAA-ET_BRISADO"
"caducast","4","4","2","0","1","0","151.64584","0","2","1","4","byplayer","0","0","146.67384","10","1539","238.03911","238.03911","-","-","4-takkaoF-caducast-T0yzerAAA-ET_BRISADO"
"T0yzerAAA","4","9","1","0","1","1","351.8206","1","2","2","4","byplayer","0","0","137.6933","4","1482","8564.7157","2003.6577","6561.058","-","4-takkaoF-caducast-T0yzerAAA-ET_BRISADO"
"ET_BRISADO","4","8","1","0","1","1","347.22568","2","1","3","5","byplayer","0","0","21.944712","11","1539","185.42458","185.42458","-","-","4-takkaoF-caducast-T0yzerAAA-ET_BRISADO"
"STRAT_FPS","5","17","0","0","0","0","196.00002","0","2","2","5","byplayer","0","0","-","7","1530","5741.7909","2902.712","2839.0789","-","5-STRAT_FPS-MESTRE-MCS-TEXAS3006-Lukyne_marth3"
"MESTRE-MCS","5","16","0","0","0","0","59.339996","0","0","0","4","suicide","2","0","-","10","1530","5710.7021","3141.7021","2569","-","5-STRAT_FPS-MESTRE-MCS-TEXAS3006-Lukyne_marth3"
"TEXAS3006","5","19","0","0","0","0","0","0","0","0","2","byplayer","0","0","-","5","778","2399.668502267","2399.627","0.041502267","-","5-STRAT_FPS-MESTRE-MCS-TEXAS3006-Lukyne_marth3"
"Lukyne_marth3","5","18","0","0","0","0","0","0","0","1","1","byplayer","0","0","-","6","1152","5776.6109","2787.0994","2989.5115","-","5-STRAT_FPS-MESTRE-MCS-TEXAS3006-Lukyne_marth3"
"LopexRS","6","23","0","0","0","0","0","0","0","11","3","byplayer","1","0","-","8","1348","378.17392","378.17392","-","-","6-LopexRS-Mateus_GB2-JEAN01-LAYOGAME"
"Mateus_GB2","6","20","0","0","0","0","35.7493","1","0","6","5","byplayer","0","0","-","9","1441","6886.1056","2308.632","4577.4736","-","6-LopexRS-Mateus_GB2-JEAN01-LAYOGAME"
"JEAN01","6","21","0","0","0","0","257.4607","1","1","5","5","suicide","0","0","-","7","1441","6405.9686","2041.8766","4364.092","-","6-LopexRS-Mateus_GB2-JEAN01-LAYOGAME"
"LAYOGAME","6","22","0","0","0","0","0","0","0","2","6","byplayer","1","0","-","6","1407","6919.788","2337.733","4582.055","-","6-LopexRS-Mateus_GB2-JEAN01-LAYOGAME"
"furacaobr","7","24","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","6","790","5191.62795","605.34625","4586.2817","-","7-furacaobr"
