"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Lukyne_marth3","1","11","0","0","0","0","66.77347","2","0","0","4","alive","0","0","-","5","1293","2958.595","2958.595","-","-","1-Lukyne_marth3-MESTRE-MCS-STRAT_FPS-TEXAS3006"
"MESTRE-MCS","1","4","1","0","1","0","0","0","0","1","4","alive","0","0","68.06678","14","1293","2843.5813","2843.5813","-","-","1-Lukyne_marth3-MESTRE-MCS-STRAT_FPS-TEXAS3006"
"STRAT_FPS","1","1","6","0","3","4","548.9481","0","4","5","3","alive","2","0","71.20008","9","1293","2826.9053","2826.9053","-","-","1-Lukyne_marth3-MESTRE-MCS-STRAT_FPS-TEXAS3006"
"TEXAS3006","1","12","0","0","0","0","0","0","0","0","0","byzone","0","0","-","6","601","1210.9188","931.1411","279.7777","-","1-Lukyne_marth3-MESTRE-MCS-STRAT_FPS-TEXAS3006"
"LopexRS","2","14","0","0","0","0","119.556694","0","0","1","1","byplayer","0","0","-","9","1187","2571.8313","2571.8313","-","-","2-LopexRS-LAYOGAME-JEAN01-Psamyster"
"LAYOGAME","2","15","0","0","0","0","172","1","2","0","1","byplayer","0","0","-","8","952","1993.088","1993.088","-","-","2-LopexRS-LAYOGAME-JEAN01-Psamyster"
"JEAN01","2","13","0","0","0","0","231.01329","0","2","1","2","byplayer","0","0","-","10","1290","2772.4387","2772.4387","-","-","2-LopexRS-LAYOGAME-JEAN01-Psamyster"
"Perobande","3","2","3","0","2","1","235.66937","0","2","2","3","byplayer","0","0","107.07436","7","956","2323.6262","2323.6262","-","-","3-Perobande-Perobinha-The-BiIL-El_gasolino"
"Perobinha","3","3","2","0","1","0","279.19855","2","2","2","7","byplayer","0","0","104.22339","9","1223","2873.042","2873.042","-","-","3-Perobande-Perobinha-The-BiIL-El_gasolino"
"The-BiIL","3","16","0","0","0","0","48.262497","0","0","1","3","byplayer","1","0","-","10","986","1997.5969","1997.5969","-","-","3-Perobande-Perobinha-The-BiIL-El_gasolino"
"El_gasolino","3","5","1","0","1","0","247.96684","2","0","1","4","byplayer","1","0","40.12954","9","1001","1700.5739","1700.5739","-","-","3-Perobande-Perobinha-The-BiIL-El_gasolino"
"Doomed_Aim","4","6","1","0","1","0","159.07138","0","0","3","7","byplayer","0","0","79.26237","11","1083","2761.2722","2761.2722","-","-","4-Doomed_Aim-andflp"
"andflp","4","17","0","0","0","0","0","0","0","5","2","byplayer","0","0","-","12","1011","2493.97983","2196.1738","297.80603","-","4-Doomed_Aim-andflp"
"Psamyster","5","18","0","0","0","0","0","0","0","0","0","byzone","0","0","-","9","942","1588.0557","1588.0557","-","-","2-LopexRS-LAYOGAME-JEAN01-Psamyster"
"AdriMal","5","9","1","0","1","1","224.77739","1","1","0","2","byplayer","0","0","56.90878","8","912","2122.0674","2122.0674","-","-","5-AdriMal-MBSILVEIRA-xJMaRcox"
"MBSILVEIRA","5","8","1","0","1","0","90.91171","1","1","3","5","byzone","0","0","138.889","11","1005","2208.8918","2208.8918","-","-","5-AdriMal-MBSILVEIRA-xJMaRcox"
"xJMaRcox","5","7","1","0","1","0","0","0","0","1","4","suicide","1","0","23.397415","10","1005","2260.482","2260.482","-","-","5-AdriMal-MBSILVEIRA-xJMaRcox"
"takkaoF","6","19","0","0","0","0","6.1025786","0","0","0","0","byplayer","0","0","-","5","803","3412.2544","1705.958","1706.2964","-","6-takkaoF-ET_BRISADO-caducast-T0yzerAAA"
"ET_BRISADO","6","22","0","0","0","0","36.49591","0","0","0","2","byplayer","0","0","-","7","710","3554.7982","1652.0216","1902.7766","-","6-takkaoF-ET_BRISADO-caducast-T0yzerAAA"
"caducast","6","20","0","0","0","0","287.17575","0","1","1","0","byplayer","0","0","-","7","803","3177.4122","1430.467","1746.9452","-","6-takkaoF-ET_BRISADO-caducast-T0yzerAAA"
"T0yzerAAA","6","21","0","0","0","0","37.8","0","0","0","0","byplayer","0","0","-","6","716","3434.0525","2084.6487","1349.4038","-","6-takkaoF-ET_BRISADO-caducast-T0yzerAAA"
"furacaobr","7","23","0","0","0","0","100","0","1","0","0","byplayer","0","0","-","6","277","307.66156","307.66156","-","-","7-furacaobr"
