"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"El_gasolino","1","10","0","0","0","0","201.10762","1","0","1","6","alive","0","0","-","8","1492","5841.3009","1434.1105","4407.1904","-","1-El_gasolino-Perobinha-Perobande-The-BiIL"
"Perobinha","1","1","3","0","1","1","535.6841","0","3","2","7","alive","0","0","156.98456","11","1492","7668.3112","2483.8452","5184.466","-","1-El_gasolino-Perobinha-Perobande-The-BiIL"
"Perobande","1","4","1","0","1","1","389.6586","1","2","4","1","alive","0","0","184.33812","8","1492","7116.3495","2433.7715","4682.578","-","1-El_gasolino-Perobinha-Perobande-The-BiIL"
"The-BiIL","1","11","0","0","0","0","0","0","0","1","5","alive","1","0","-","12","1492","3231.5286","2053.227","1178.3016","-","1-El_gasolino-Perobinha-Perobande-The-BiIL"
"xJMaRcox","2","3","2","0","1","0","203.56567","1","2","1","3","suicide","0","0","67.63511","8","1362","7526.3843","2372.4087","5153.9756","-","2-xJMaRcox-AdriMal-MBSILVEIRA"
"AdriMal","2","12","0","0","0","0","164.34999","2","1","0","5","byzone","1","0","-","8","1343","7270.3177","1707.6722","5562.6455","-","2-xJMaRcox-AdriMal-MBSILVEIRA"
"MBSILVEIRA","2","2","3","0","1","1","317.11734","1","0","1","10","byplayer","0","0","122.602165","17","1489","7679.0684","2198.6377","5480.4307","-","2-xJMaRcox-AdriMal-MBSILVEIRA"
"Doomed_Aim","3","13","0","0","0","0","63.47887","0","1","1","6","byzone","0","0","-","14","1453","2580.19365","934.68805","1645.5056","-","3-Doomed_Aim-andflp"
"andflp","3","5","1","0","1","0","43.235912","0","0","2","9","suicide","0","0","326.11722","10","1453","2426.37096","951.38196","1474.989","-","3-Doomed_Aim-andflp"
"caducast","4","14","0","0","0","0","165.29407","0","0","2","6","byplayer","1","0","-","6","1401","1147.9907","1147.9907","-","-","4-caducast-ET_BRISADO-T0yzerAAA-takkaoF"
"ET_BRISADO","4","15","0","0","0","0","64.91219","0","0","3","5","suicide","0","0","-","11","1356","1055.0675","1055.0675","-","-","4-caducast-ET_BRISADO-T0yzerAAA-takkaoF"
"T0yzerAAA","4","17","0","0","0","0","100","0","1","0","2","byplayer","0","0","-","6","1295","927.1847","927.1847","-","-","4-caducast-ET_BRISADO-T0yzerAAA-takkaoF"
"takkaoF","4","16","0","0","0","0","221.96104","0","0","1","6","byzone","0","0","-","9","1351","1075.6119","1075.6119","-","-","4-caducast-ET_BRISADO-T0yzerAAA-takkaoF"
"TEXAS3006","5","18","0","0","0","0","79.61542","0","0","7","6","byplayer","0","0","-","6","1362","10144.259581","2528.4343","7586.9795","28.845781","5-TEXAS3006-MESTRE-MCS-STRAT_FPS-Lukyne_marth3"
"MESTRE-MCS","5","7","1","0","1","1","171.56299","1","1","5","4","byplayer","0","0","24.818718","5","1329","9790.52339","2316.233","7445.2773","29.01309","5-TEXAS3006-MESTRE-MCS-STRAT_FPS-Lukyne_marth3"
"STRAT_FPS","5","8","1","0","1","0","119.22559","0","0","8","3","byplayer","1","0","91.37421","8","1241","8634.4425","1342.1149","7292.3276","-","5-TEXAS3006-MESTRE-MCS-STRAT_FPS-Lukyne_marth3"
"Lukyne_marth3","5","6","1","0","1","0","245.7034","1","2","6","5","byplayer","1","0","68.827","7","1362","10389.970643","3030.8125","7334.9595","24.198643","5-TEXAS3006-MESTRE-MCS-STRAT_FPS-Lukyne_marth3"
"LopexRS","6","21","0","0","0","0","30.551096","0","0","1","3","byplayer","0","0","-","8","972","6187.3854","794.5211","5392.8643","-","6-LopexRS-LAYOGAME-Mateus_GB2-JEAN01"
"LAYOGAME","6","20","0","0","0","0","109","0","1","2","4","byplayer","1","0","-","8","982","6119.89743","768.36743","5351.53","-","6-LopexRS-LAYOGAME-Mateus_GB2-JEAN01"
"Mateus_GB2","6","22","0","0","0","0","0","0","0","4","3","byplayer","0","0","-","7","922","6077.0585","695.7421","5381.3164","-","6-LopexRS-LAYOGAME-Mateus_GB2-JEAN01"
"JEAN01","6","19","0","0","0","0","182.9584","0","0","6","2","byplayer","0","0","-","9","995","6230.39214","811.71814","5418.674","-","6-LopexRS-LAYOGAME-Mateus_GB2-JEAN01"
"furacaobr","7","23","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","6","821","3766.4309","821.9899","2944.441","-","7-furacaobr"
