"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Peberinha","1","2","4","0","1","1","400.35593","1","4","3","9","alive","1","0","154.88214","10","1428","5358.248908","3320.7441","1974.2334","63.271408","1-Peberinha-LaygO_0-Perobande-El_gasolino"
"LaygO_0","1","5","1","0","1","1","126.86918","1","1","0","0","alive","0","0","66.321304","8","1428","4605.4412","2370.8777","2234.5635","-","1-Peberinha-LaygO_0-Perobande-El_gasolino"
"Perobande","1","1","4","0","1","0","681.21185","2","4","1","3","alive","0","0","128.59172","10","1428","5514.4031","3155.9468","2358.4563","-","1-Peberinha-LaygO_0-Perobande-El_gasolino"
"El_gasolino","1","4","1","0","1","0","102.19902","2","1","2","2","alive","0","0","180.5764","6","1428","5707.4977","2969.579","2737.9187","-","1-Peberinha-LaygO_0-Perobande-El_gasolino"
"andflp","2","9","0","0","0","0","23.06536","0","0","0","7","byplayer","0","0","-","8","1403","8346.0483","2697.6023","5648.446","-","2-andflp-WF_PROZIN-Doomed_Aim-Danielsr2"
"WF_PROZIN","2","3","2","0","1","0","69.06056","1","1","1","5","byplayer","0","0","37.86991","8","1390","6792.3403","2105.435","4686.9053","-","2-andflp-WF_PROZIN-Doomed_Aim-Danielsr2"
"Doomed_Aim","2","7","1","0","1","0","300.4083","2","0","0","7","byplayer","0","0","19.674313","10","1425","9420.301","2653.5427","6766.7583","-","2-andflp-WF_PROZIN-Doomed_Aim-Danielsr2"
"Danielsr2","2","6","1","0","1","0","85.40821","1","1","2","4","byplayer","1","0","14.309177","5","1425","6634.8638","1527.3921","5107.4717","-","2-andflp-WF_PROZIN-Doomed_Aim-Danielsr2"
"MESTRE-MCS","3","12","0","0","0","0","0","0","0","1","7","suicide","1","0","-","7","1343","3597.1211","2057.335","1539.7861","-","3-MESTRE-MCS-Lukyne_marth3-TEXAS3006-XxWarlockLFxX"
"Lukyne_marth3","3","10","0","0","0","0","103.88659","0","0","1","4","byplayer","0","0","-","6","1343","2723.16","1223.0875","1500.0725","-","3-MESTRE-MCS-Lukyne_marth3-TEXAS3006-XxWarlockLFxX"
"TEXAS3006","3","13","0","0","0","0","64.550095","0","0","0","6","byzone","0","0","-","7","1336","4006.7001","2271.876","1734.8241","-","3-MESTRE-MCS-Lukyne_marth3-TEXAS3006-XxWarlockLFxX"
"XxWarlockLFxX","3","11","0","0","0","0","0","0","0","2","8","byzone","0","0","-","7","1343","2679.8829","1176.852","1503.0309","-","3-MESTRE-MCS-Lukyne_marth3-TEXAS3006-XxWarlockLFxX"
"LAYOGAME","4","14","0","0","0","0","100","0","1","0","1","byplayer","0","0","-","4","806","7320.19053","667.30383","6652.8867","-","4-LAYOGAME-JEAN01-LopexRS"
"JEAN01","4","15","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","7","806","7438.81084","824.48584","6614.325","-","4-LAYOGAME-JEAN01-LopexRS"
"LopexRS","4","16","0","0","0","0","91.37429","0","0","0","0","byplayer","0","0","-","4","806","6709.3241","647.8951","6061.429","-","4-LAYOGAME-JEAN01-LopexRS"
"ET_BRISADO","5","17","0","0","0","0","0","0","0","0","2","byplayer","0","0","-","5","571","5519.66","784.1683","4735.4917","-","5-ET_BRISADO"
"AdriMal","6","20","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","4","300","436.63892","436.63892","-","-","6-AdriMal-xJMaRcox-MBSILVEIRA-Dark-Funeral-666"
"xJMaRcox","6","19","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","4","304","361.7107","361.7107","-","-","6-AdriMal-xJMaRcox-MBSILVEIRA-Dark-Funeral-666"
"MBSILVEIRA","6","21","0","0","0","0","0","0","0","1","1","byplayer","0","0","-","5","285","426.2292","426.2292","-","-","6-AdriMal-xJMaRcox-MBSILVEIRA-Dark-Funeral-666"
"Dark-Funeral-666","6","18","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","4","304","357.18335","357.18335","-","-","6-AdriMal-xJMaRcox-MBSILVEIRA-Dark-Funeral-666"
