"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Peberinha","1","10","0","0","0","0","19.35","1","0","3","4","byplayer","1","0","-","11","1073","8311.5453","1350.1586","6961.3867","-","1-Peberinha-LaygO_0-El_gasolino-Perobande"
"LaygO_0","1","2","2","0","1","0","257.78912","2","2","2","3","alive","0","0","28.327312","9","1327","8149.1141","1533.8461","6615.268","-","1-Peberinha-LaygO_0-El_gasolino-Perobande"
"El_gasolino","1","4","1","0","1","0","147.34663","1","0","0","4","alive","3","0","58.01972","17","1327","8559.4405","2162.5405","6396.9","-","1-Peberinha-LaygO_0-El_gasolino-Perobande"
"Perobande","1","1","6","0","2","2","700.76495","3","4","4","4","alive","0","0","190.29529","17","1327","9077.5665","2379.6765","6697.89","-","1-Peberinha-LaygO_0-El_gasolino-Perobande"
"XxWarlockLFxX","2","3","2","0","1","0","416.12292","0","4","0","7","suicide","0","0","8.656763","16","1324","7495.3987","1724.1301","5771.2686","-","2-XxWarlockLFxX-TEXAS3006-MESTRE-MCS-Lukyne_marth3"
"TEXAS3006","2","5","1","0","1","0","96.464134","0","1","3","5","byplayer","2","0","13.7342825","9","1324","7118.1959","1679.2584","5438.9375","-","2-XxWarlockLFxX-TEXAS3006-MESTRE-MCS-Lukyne_marth3"
"MESTRE-MCS","2","11","0","0","0","0","0","0","0","1","3","suicide","1","0","-","11","1324","7128.9392","1419.2632","5709.676","-","2-XxWarlockLFxX-TEXAS3006-MESTRE-MCS-Lukyne_marth3"
"Lukyne_marth3","2","6","1","0","1","0","55","0","1","2","4","byplayer","1","0","40.93805","5","1227","7124.4402","1494.0962","5630.344","-","2-XxWarlockLFxX-TEXAS3006-MESTRE-MCS-Lukyne_marth3"
"xJMaRcox","3","14","0","0","0","0","73.420746","0","1","10","4","byplayer","1","0","-","8","1190","5410.3615","2743.5344","2666.8271","-","3-xJMaRcox-AdriMal-MBSILVEIRA-Dark-Funeral-666"
"AdriMal","3","13","0","0","0","0","269","0","3","16","4","byplayer","2","0","-","11","1233","5374.3486","2694.3528","2679.9958","-","3-xJMaRcox-AdriMal-MBSILVEIRA-Dark-Funeral-666"
"MBSILVEIRA","3","12","0","0","0","0","116.49967","0","0","19","3","byplayer","0","0","-","10","1233","5228.1385","2550.9119","2677.2266","-","3-xJMaRcox-AdriMal-MBSILVEIRA-Dark-Funeral-666"
"Dark-Funeral-666","3","15","0","0","0","0","0","0","1","14","2","byplayer","0","0","-","4","1168","5243.7808","2584.0898","2659.691","-","3-xJMaRcox-AdriMal-MBSILVEIRA-Dark-Funeral-666"
"WF_PROZIN","4","16","0","0","0","0","140.25629","0","1","0","3","byplayer","0","0","-","10","1156","3914.2907","1868.6089","2045.6818","-","4-WF_PROZIN-Danielsr2-Doomed_Aim-andflp"
"Danielsr2","4","18","0","0","0","0","114.48843","0","0","0","2","byplayer","0","0","-","11","1146","4372.5834","2137.849","2234.7344","-","4-WF_PROZIN-Danielsr2-Doomed_Aim-andflp"
"Doomed_Aim","4","7","1","0","1","0","178.51642","0","0","0","2","byplayer","0","0","13.239537","12","1130","4657.5266","2517.7834","2139.7432","-","4-WF_PROZIN-Danielsr2-Doomed_Aim-andflp"
"andflp","4","17","0","0","0","0","86.739975","0","1","0","3","byplayer","0","0","-","8","1156","4322.8274","1804.9778","2517.8496","-","4-WF_PROZIN-Danielsr2-Doomed_Aim-andflp"
"ET_BRISADO","5","8","1","0","1","0","100","0","1","1","4","byplayer","0","0","9.588034","11","1102","8509.2128","778.3578","7730.855","-","5-ET_BRISADO"
"LAYOGAME","6","20","0","0","0","0","209.52046","0","1","1","0","byplayer","0","0","-","6","446","773.7082","773.7082","-","-","6-LAYOGAME-JEAN01-LopexRS"
"JEAN01","6","19","0","0","0","0","0","0","0","2","2","byplayer","0","0","-","6","446","625.8555","625.8555","-","-","6-LAYOGAME-JEAN01-LopexRS"
"LopexRS","6","21","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","6","397","615.96982984","615.7167","0.25312984","-","6-LAYOGAME-JEAN01-LopexRS"
