"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Perobande","1","2","3","0","1","2","580.0063","2","3","4","3","alive","1","0","69.44914","12","1345","10864.342","2105.791","8758.551","-","1-Perobande-El_gasolino-Peberinha-The-BiIL"
"El_gasolino","1","5","1","0","1","0","125.04","1","0","2","4","alive","1","0","18.691631","7","1345","10274.2151","1961.8701","8312.345","-","1-Perobande-El_gasolino-Peberinha-The-BiIL"
"Peberinha","1","1","6","0","3","0","310.45352","2","5","2","9","alive","0","0","166.5973","13","1345","9528.2987","1626.6357","7901.663","-","1-Perobande-El_gasolino-Peberinha-The-BiIL"
"The-BiIL","1","6","1","0","1","1","264.93817","3","0","1","8","alive","2","0","105.78391","6","1345","9427.4297","2028.6067","7398.823","-","1-Perobande-El_gasolino-Peberinha-The-BiIL"
"JEAN01","2","11","0","0","0","0","266.37738","0","1","0","0","byplayer","0","0","-","9","1342","1438.0015","1438.0015","-","-","2-JEAN01-LAYOGAME"
"LAYOGAME","2","10","0","0","0","0","60.354374","0","0","1","2","byplayer","0","0","-","8","1342","2834.0925","2834.0925","-","-","2-JEAN01-LAYOGAME"
"xJMaRcox","3","7","1","0","1","1","332.1502","0","3","5","0","byplayer","2","0","22.524944","11","893","1273.898712","1242.2017","-","31.697012","3-xJMaRcox-Racha_Cuca_AWM-MBSILVEIRA-AdriMal"
"Racha_Cuca_AWM","3","13","0","0","0","0","0","0","0","1","1","byplayer","0","0","-","10","827","1286.493756","1251.0588","-","35.434956","3-xJMaRcox-Racha_Cuca_AWM-MBSILVEIRA-AdriMal"
"MBSILVEIRA","3","3","3","0","1","0","442.70563","0","3","2","10","byplayer","1","0","14.1076","17","1230","2433.426573","2396.5007","-","36.925873","3-xJMaRcox-Racha_Cuca_AWM-MBSILVEIRA-AdriMal"
"AdriMal","3","12","0","0","0","0","109.38","1","1","0","0","byplayer","0","0","-","8","879","1278.934462","1249.0759","-","29.858562","3-xJMaRcox-Racha_Cuca_AWM-MBSILVEIRA-AdriMal"
"T0yzerAAA","4","15","0","0","0","0","58.742485","0","0","0","0","byplayer","0","0","-","5","850","3278.0651","1485.3481","1792.717","-","4-T0yzerAAA-ET_BRISADO-caducast"
"ET_BRISADO","4","14","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","7","850","1182.72908","156.84698","1025.8821","-","4-T0yzerAAA-ET_BRISADO-caducast"
"caducast","4","16","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","6","843","3747.1862","1227.6569","2519.5293","-","4-T0yzerAAA-ET_BRISADO-caducast"
"Doomed_Aim","5","18","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","10","596","3790.4587","1336.4751","2453.9836","-","5-Doomed_Aim-andflp"
"andflp","5","17","0","0","0","0","44.770157","0","0","2","3","byplayer","0","0","-","8","692","3741.8336","1121.3597","2620.4739","-","5-Doomed_Aim-andflp"
"XxWarlockLFxX","6","21","0","0","0","0","93.668655","0","0","0","0","byplayer","0","0","-","1","148","126.37","126.37","-","-","6-XxWarlockLFxX-STRAT_FPS-TEXAS3006-Lukyne_marth3"
"STRAT_FPS","6","20","0","0","0","0","170.52","1","1","1","0","byplayer","0","0","-","2","212","82.79363","82.79363","-","-","6-XxWarlockLFxX-STRAT_FPS-TEXAS3006-Lukyne_marth3"
"TEXAS3006","6","19","0","0","0","0","42","0","0","0","0","byplayer","0","0","-","8","341","305.91412","305.91412","-","-","6-XxWarlockLFxX-STRAT_FPS-TEXAS3006-Lukyne_marth3"
"Lukyne_marth3","6","4","3","0","2","0","296.19226","0","3","1","0","byplayer","0","0","14.348463","9","341","323.2742","323.2742","-","-","6-XxWarlockLFxX-STRAT_FPS-TEXAS3006-Lukyne_marth3"
