"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"STRAT_FPS","1","13","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","9","1271","1573.525","995.2728","578.2522","-","1-STRAT_FPS-XxWarlockLFxX-MESTRE-MCS-TEXAS3006"
"XxWarlockLFxX","1","2","4","0","2","1","530.088","0","3","1","11","alive","1","0","52.931324","16","1535","1980.3236","678.8347","1301.4889","-","1-STRAT_FPS-XxWarlockLFxX-MESTRE-MCS-TEXAS3006"
"MESTRE-MCS","1","11","0","0","0","0","0","0","0","0","2","alive","1","0","-","10","1535","2026.3392","1134.1748","892.1644","-","1-STRAT_FPS-XxWarlockLFxX-MESTRE-MCS-TEXAS3006"
"TEXAS3006","1","12","0","0","0","0","22.8","0","0","1","6","byplayer","0","0","-","13","1489","1928.2786","988.3137","939.9649","-","1-STRAT_FPS-XxWarlockLFxX-MESTRE-MCS-TEXAS3006"
"The-BiIL","2","14","0","0","0","0","84.645004","1","0","0","1","byplayer","0","0","-","7","1460","6215.7901","2357.3206","3858.4695","-","2-The-BiIL-Perobande-Peberinha-El_gasolino"
"Perobande","2","3","3","0","1","1","527.69073","1","4","5","7","byplayer","0","0","232.42787","11","1470","6864.9262","2814.103","4050.8232","-","2-The-BiIL-Perobande-Peberinha-El_gasolino"
"Peberinha","2","1","5","0","1","1","537.9762","0","4","2","5","byplayer","0","0","97.68025","10","1501","7972.9923","3166.214","4806.7783","-","2-The-BiIL-Perobande-Peberinha-El_gasolino"
"El_gasolino","2","5","1","0","1","1","133.65767","0","1","5","5","byplayer","1","0","67.76185","9","1532","1758.8911","1758.8911","-","-","2-The-BiIL-Perobande-Peberinha-El_gasolino"
"LAYOGAME","3","15","0","0","0","0","0","0","0","1","1","byplayer","0","0","-","8","1431","4647.011","2512.225","2134.786","-","3-LAYOGAME-JEAN01"
"JEAN01","3","6","1","0","1","1","100","0","1","0","2","byplayer","1","0","0.7615735","13","1417","4634.6238","2508.6663","2125.9575","-","3-LAYOGAME-JEAN01"
"MBSILVEIRA","4","7","1","0","1","0","117.08873","0","1","9","2","byplayer","1","0","17.705898","8","1260","4352.4421","1409.8381","2942.604","-","4-MBSILVEIRA-Dark-Funeral-666-xJMaRcox-AdriMal"
"xJMaRcox","4","16","0","0","0","0","48.58976","0","0","0","0","byplayer","0","0","-","9","1219","4360.563","1378.707","2981.856","-","4-MBSILVEIRA-Dark-Funeral-666-xJMaRcox-AdriMal"
"AdriMal","4","17","0","0","0","0","66.38782","0","1","1","2","byplayer","0","0","-","5","1219","4002.764","903.642","3099.122","-","4-MBSILVEIRA-Dark-Funeral-666-xJMaRcox-AdriMal"
"caducast","5","18","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","6","1206","8943.2911","1454.3761","7488.915","-","5-caducast-T0yzerAAA-ET_BRISADO"
"T0yzerAAA","5","19","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","5","1202","9444.9782","1774.7172","7670.261","-","5-caducast-T0yzerAAA-ET_BRISADO"
"ET_BRISADO","5","4","2","0","2","0","139.80008","0","2","1","3","byplayer","0","0","39.380642","5","1240","9255.2368","1453.9128","7801.324","-","5-caducast-T0yzerAAA-ET_BRISADO"
"andflp","6","21","0","0","0","0","43.976967","0","0","0","1","byplayer","0","0","-","6","838","239.3182","239.3182","-","-","6-andflp-WF_PROZIN-Doomed_Aim"
"WF_PROZIN","6","22","0","0","0","0","0","0","0","1","1","byplayer","0","0","-","6","774","3018.8705","945.5885","2073.282","-","6-andflp-WF_PROZIN-Doomed_Aim"
"Doomed_Aim","6","20","0","0","0","0","166.04817","0","0","1","4","byplayer","0","0","-","11","875","3991.4925","1576.4755","2415.017","-","6-andflp-WF_PROZIN-Doomed_Aim"
"Dark-Funeral-666","6","23","0","0","0","0","0","0","0","0","0","byzone","0","0","-","0","707","-","-","-","-","4-MBSILVEIRA-Dark-Funeral-666-xJMaRcox-AdriMal"
