"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Danielsr2","1","3","1","0","1","0","123.240005","0","1","2","2","alive","0","0","28.21415","7","1549","4762.9114","1428.073","3334.8384","-","1-Danielsr2-andflp-WF_PROZIN"
"andflp","1","9","0","0","0","0","109.29276","0","0","6","4","alive","0","0","-","18","1549","7060.2833","1813.8903","5246.393","-","1-Danielsr2-andflp-WF_PROZIN"
"WF_PROZIN","1","8","0","0","0","0","0","0","0","4","8","alive","0","0","-","13","1549","4333.1963","1211.3063","3121.89","-","1-Danielsr2-andflp-WF_PROZIN"
"XxWarlockLFxX","2","1","3","0","2","2","466.44547","0","2","1","10","byplayer","0","0","63.348145","11","1546","6760.4667","1841.744","4918.7227","-","2-XxWarlockLFxX-TEXAS3006-MESTRE-MCS-STRAT_FPS"
"TEXAS3006","2","10","0","0","0","0","89.94374","2","1","2","8","byzone","2","0","-","8","1546","6304.2234","1091.8381","5212.3853","-","2-XxWarlockLFxX-TEXAS3006-MESTRE-MCS-STRAT_FPS"
"MESTRE-MCS","2","4","1","0","1","0","163.4247","1","0","1","6","suicide","1","0","32.49174","7","1546","7189.453","2284.235","4905.218","-","2-XxWarlockLFxX-TEXAS3006-MESTRE-MCS-STRAT_FPS"
"STRAT_FPS","2","5","1","0","1","0","196.13354","1","1","1","4","byplayer","0","0","108.81805","7","1307","6685.4208","1520.1938","5165.227","-","2-XxWarlockLFxX-TEXAS3006-MESTRE-MCS-STRAT_FPS"
"xJMaRcox","3","11","0","0","0","0","84.22875","0","1","3","5","byplayer","0","0","-","8","1525","6825.196143","2148.3762","4625.8345","50.985443","3-xJMaRcox-AdriMal-MBSILVEIRA-Dark-Funeral-666"
"AdriMal","3","12","0","0","0","0","183.62926","0","1","0","4","byplayer","0","0","-","8","1063","6305.009236","1053.1953","5240.128","11.685936","3-xJMaRcox-AdriMal-MBSILVEIRA-Dark-Funeral-666"
"MBSILVEIRA","3","14","0","0","0","0","0","0","0","0","5","byplayer","0","0","-","9","928","5313.34346","712.23706","4601.1064","-","3-xJMaRcox-AdriMal-MBSILVEIRA-Dark-Funeral-666"
"Dark-Funeral-666","3","13","0","0","0","0","0","0","0","1","4","byplayer","0","0","-","4","1004","6231.3872177","1046.1937","5181.201","3.9925177","3-xJMaRcox-AdriMal-MBSILVEIRA-Dark-Funeral-666"
"El_gasolino","4","15","0","0","0","0","114.38245","1","0","2","5","byplayer","0","0","-","13","1388","1982.0839","1025.6843","956.3996","-","4-El_gasolino-Peberinha-LaygO_0"
"Peberinha","4","2","2","0","1","1","135.66878","0","2","6","8","byplayer","0","0","284.2053","7","1324","3040.946","1778.8159","1262.1301","-","4-El_gasolino-Peberinha-LaygO_0"
"LaygO_0","4","6","1","0","1","0","162.42499","1","1","0","2","byplayer","0","0","12.367566","8","1332","3100.9486","1532.629","1568.3196","-","4-El_gasolino-Peberinha-LaygO_0"
